CNPJ_Fundo_Classe;Data_Referencia;Versao;Endereco;Data_Alienacao;Area;Outras_Caracteristicas_Relevantes;Percentual_Terreno_Total_Investido;Percentual_Terreno_PL
12.358.507/0001-09;2022-09-30;1;Fazenda Passatempo - Rio Brilhante MS;2022-09-29;2.01587e+007;N/A;0.219828;0.047089
12.989.974/0001-29;2022-06-30;2;Praça Marechal Hermes, nº 63, LOTE 1 , QUADRAS 1. Bairro Santo Cristo, Município do Rio de Janeiro, Estado do Rio de Janeiro;2022-05-20;19986.1;Venda de parte do terreno denominado Praia Formosa, para desenvolvimento do empreendimento "Porto Carioca", com 1472 unidades residenciais, para lançamento no segundo semestre de 2022.;;
12.989.974/0001-29;2022-09-30;1;Avenida São Cristovão, nº 1200, Bairro São Cristóvão, Município do Rio de Janeiro, Estado do Rio de Janeiro;2022-07-14;26617;Imissão na posse pela Prefeitura Municipal do Rio de Janeiro em 14/07/2022 devido a processo de desapropriação por parte do Município do RJ, em decorrência do Decreto 49116/2021, que declarou o imóvel como de interesse público. Alienação junto ao cartório de imóveis ainda pendente.;;
16.915.968/0001-88;2022-12-31;2;Rua Lauro de Freitas, 451, Vila Sonia, São Paulo-SP;2022-11-30;1840;Não possui;0.2203;0.021
16.915.968/0001-88;2022-12-31;2;Av. Corifeu de Azevedo Marques, 3870, Butantã, São Paulo-SP;2022-12-30;2803;Não possui;0.2012;0.0134
26.642.834/0001-94;2022-09-30;1;Rua Piauí;2022-07-18;484;N/A;0.002747;0.001358
26.642.834/0001-94;2022-09-30;1;Av. Barão de Maua;2022-09-15;18799;N/A;0.00245;0.001213
34.693.040/0001-88;2022-09-30;1;Rod. Alkindar Monteiro Junqueira Km 33,5;2022-09-12;3160.3;Nenhuma característica relevante;0;0
34.693.040/0001-88;2022-09-30;1;Rod. Alkindar Monteiro Junqueira Km 33,5;2022-07-29;3275.37;Nenhuma característica relevante;0;0
34.693.040/0001-88;2022-09-30;1;Rod. Alkindar Monteiro Junqueira Km 33,5;2022-08-09;3213.15;Nenhuma característica relevante;0;0
37.532.662/0001-12;2022-09-30;1;Imovel Urbano, Lote 4 Qd G -  Rua Dois, lado par. Loteamento Jardim Montecarlo, Município de Sertãozinho - SP;2022-08-29;504;Imóvel objeto da matrícula 70.967 do Oficial de Registro de Imóveis de Sertãozinho - SP;1;0.009282
44.395.062/0001-15;2022-09-30;1;Rua da Consolação São PauloSP;2022-07-07;762;N/A;0.0995;0.1465
