CNPJ_Fundo_Classe;Data_Referencia;Versao;Endereco;Area;Outras_Caracteristicas_Relevantes;Percentual_Terreno_Total_Investido;Percentual_Terreno_PL
28.548.288/0001-52;2025-03-31;1;OBRAMAX _SAOGONÇALO;18657.8;n/a;0;0
41.081.336/0001-03;2025-03-31;1;Avenida Guarapiranga, 752 - Vila Socorro, São Paulo - SP;10705.5;Shopping Fiesta;0.861818;0
42.537.540/0001-59;2025-03-31;1;Avenida Dos Bandeirantes, S/n°,  Costazul, Rio Das Ostras/RJ, Brasil, 28895-314;990;Direito de Propriedade;0.037925;0.039871
49.893.516/0001-00;2025-03-31;1;Área 07 - Campina, Bairro de São Miguel - Guarulhos, São Paulo;63806.6;Matrícula 146.645 - Ativo adquirido via Escritura de Permuta - O Fundo assinou a Escritura de Permuta no dia 05 de fevereiro de 2024, sendo a Bekaa a proprietária do terreno situado em Guarulhos, Estado de São Paulo, devidamente identificado na matrícula nº 146.645, no qual o Fundo adquiriu, a título de permuta, a parte ideal de 64,2857%, em troca das construções, benfeitorias e acessões, que correspondem a 35,7143% da área total do Empreendimento.;0.642857;1.1331
51.889.479/0001-08;2025-03-31;1;Rua Roberto Francisco Behrens;4632.11;CANOAS Bittencourt - mat. 90.923;0.0198;0.02
51.889.479/0001-08;2025-03-31;1;Avenida Presidente Goulart;30000;SÃO BORJA- mat. 30.094;0.0382;0.0385
51.889.479/0001-08;2025-03-31;1;Km 19, Estrada de Rodagem Porto Alegre - Viamão;13788.6;VIAMÃO mat. 40.176;0.1399;0.14
51.889.479/0001-08;2025-03-31;1;Km 19, Estrada de Rodagem Porto Alegre - Viamão;6740.13;VIAMÃO mat. 81.006;0.0562;0.0567
51.889.479/0001-08;2025-03-31;1;Av. Saturnino de Brito, 601 - São Francisco - Cruz Alta/RS;7008.48;CRUZ ALTA - mat. 51.078;0.1856;0.1871
51.889.479/0001-08;2025-03-31;1;Rua Hirto Luiz Melegari, 465 - Sagrado Coração de Jesus, Lages/SC;9310.7;LAGES - mat. 36.632;0.1911;0.1926
51.889.479/0001-08;2025-03-31;1;Avenida Maestro Roberto Barbosa Ribas, Bairro Juscelino Kubitschek - Santa Maria;29713.4;SANTA MARIA - mat.107.647;0.0753;0.0759
51.889.479/0001-08;2025-03-31;1;Av. Francisco Chagas, 1540 - São Gabriel - RS;16348;SÃO GABRIEL - Mat.4.42;0.0273;0.0275
53.191.611/0001-20;2025-03-31;2;TERRENO BR364;;TERRENO BR364 - ESCRITURA;;
57.961.321/0001-70;2025-03-31;1;AVENIDA DOUTOR MARTIN LUTHER KING, S/N - LOTE 2 QD 1 - Umuarama - Osasco - SP;5288.62;Loteamento Jardim Santo Antoninho;0.25;0.43
57.961.321/0001-70;2025-03-31;1;AVENIDA DOUTOR MARTIN LUTHER KING, S/N - LOTE 3 QD 1 - Umuarama - Osasco - SP;5767.73;Loteamento Jardim Santo Antoninho;0.27;0.4689
57.961.321/0001-70;2025-03-31;1;ALAMEDA PAINEIRA VERMELHA, 168 - LOTE 4 QD 11 - Adalgisa - Osasco - SP;4902.69;Loteamento Jardim Lorian;0.23;0.354
57.961.321/0001-70;2025-03-31;1;AVENIDA MANOEL DE NÓBREGA - RADIALISTA, S/N - L 11 Q H - Adalgisa - Osasco - SP;435;Loteamento Jardim Adalgiza II;0.02;0.0314
57.961.321/0001-70;2025-03-31;1;ALAMEDA PAINEIRA VERMELHA, 146 - LOTE 3 QD 11 - Adalgisa - Osasco - SP;5004.19;Loteamento Jardim Lorian;0.23;0.4099
58.823.628/0001-77;2025-03-31;1;Fazenda Junior II, lote rural nº 15, situado na Gleba Alto Ronuro I, no Município de Nova Ubiratã/MT, matricula nº 4.911 do 1º RGI de Nova Ubiratã/MT;1546.57;Integralização no Fiagro FII;0.9762;0.9762
